run_id,timestamp_utc,commit_hash,model_name,backbone,framework,input_size,params_count,epochs_trained,train_samples,val_samples,batch_size,lr,val_accuracy,val_macro_f1,val_macro_recall,best_checkpoint_path,onnx_path,tflite_path,gradcam_folder,notes
20251004_004207_efficientnet_b0_5d79b2d,2025-10-04T04:44:32.307018+00:00,5d79b2d24aa4d326b70c6260a1ee63b27b4c31dd,efficientnet_b0,tf_efficientnet_b0,pytorch,224,4801167,10,20907,5227,8,0.001,0.8521140233403481,0.7936951194896749,0.8197379590267605,models\20251004_004207_efficientnet_b0_5d79b2d\best.pth,,,models\20251004_004207_efficientnet_b0_5d79b2d\gradcam,Primary baseline
20251009_174623_efficientnet_b0_bb58c3d,2025-10-09T18:10:59.392374+00:00,bb58c3d092487168d6f915167a1c6edddbd436a9,efficientnet_b0,tf_efficientnet_b0,pytorch,224,4801167,10,1600,400,8,0.001,0.735,0.6123211259482936,0.6115522497686507,models\20251009_174623_efficientnet_b0_bb58c3d\best.pth,,,models\20251009_174623_efficientnet_b0_bb58c3d\gradcam,Primary baseline
